Timestamp, FrameID, RTT(us)
1766398788.933027, 751, 131018
1766398788.933346, 955, 115550
1766398788.937276, 1054, 99734
1766398788.941410, 1573, 72273
1766398788.942410, 1993, 56373
1766398788.965925, 1436, 113437
1766398788.979573, 2558, 60944
1766398788.980160, 2241, 77983
1766398788.997858, 2633, 60654
1766398789.026067, 2929, 70907
1766398789.030058, 3160, 60289
1766398789.037149, 3498, 50508
1766398789.067741, 3805, 64891
1766398789.087259, 4059, 66076
1766398789.114113, 4349, 76343
1766398789.114578, 4493, 61527
1766398789.122205, 4633, 52023
1766398789.142951, 5116, 57902
1766398789.163936, 5204, 61876
1766398789.202467, 5491, 81651
1766398789.204455, 5824, 69046
1766398789.204952, 5898, 52458
1766398789.224496, 6161, 55115
1766398789.245257, 6447, 57223
1766398789.259254, 6768, 56346
1766398789.287681, 7097, 68719
1766398789.305557, 7270, 69739
1766398789.305575, 7638, 52494
1766398789.321036, 7997, 36016
1766398789.329446, 7863, 59798
1766398789.374644, 8445, 71806
1766398789.388227, 8614, 68622
1766398789.395433, 8952, 57439
1766398789.413171, 8988, 60956
1766398789.433058, 9283, 60234
1766398789.444008, 9501, 58335
1766398789.449629, 9957, 47425
1766398789.480410, 9988, 60403
1766398789.485138, 10267, 48519
1766398789.509672, 10542, 56667
1766398789.519639, 10870, 49404
1766398789.534664, 11123, 47820
1766398789.557995, 11480, 55490
1766398789.566011, 11603, 47325
1766398789.589990, 11854, 53945
1766398789.620732, 12513, 46745
1766398789.624787, 12245, 71105
1766398789.656758, 12647, 70471
1766398789.661512, 13109, 41358
1766398789.674799, 13009, 71687
1766398789.692889, 13530, 55731
1766398789.715383, 13887, 46265
1766398789.717398, 13714, 64192
1766398789.763776, 14316, 77103
1766398789.773177, 14529, 68519
1766398789.781939, 14767, 61769
1766398789.791424, 15013, 54658
1766398789.802284, 15144, 48613
1766398789.842422, 15494, 70841
1766398789.869454, 15709, 80657
1766398789.881773, 16259, 61177
1766398789.904334, 15973, 99206
1766398789.919220, 16387, 86624
1766398789.968750, 17055, 100351
1766398789.978904, 16733, 126958
1766398790.001810, 17222, 115354
1766398790.009438, 17530, 106431
1766398790.023249, 17796, 104948
1766398790.064671, 17995, 128376
1766398790.087866, 18325, 136188
1766398790.107319, 18610, 137424
1766398790.144916, 18952, 139973
1766398790.176043, 18881, 188439
1766398790.179516, 19339, 159941
1766398790.187162, 19476, 150473
1766398790.209568, 19798, 156079
1766398790.243369, 20064, 173080
1766398790.251500, 20469, 165641
1766398790.256112, 20669, 152424
1766398790.298701, 20786, 179206
1766398790.307181, 21034, 170165
1766398790.335989, 21400, 183395
1766398790.357016, 21700, 188452
1766398790.381626, 22148, 177070
1766398790.386458, 21865, 200683
1766398790.388995, 22405, 170780
1766398790.423532, 22553, 187245
1766398790.428589, 22825, 174522
1766398790.443105, 23213, 173591
1766398790.475412, 23455, 186809
1766398790.480633, 23686, 176377
1766398790.502395, 23826, 184014
1766398790.516880, 24098, 180836
1766398790.546292, 24458, 192469
1766398790.568127, 24687, 198377
1766398790.595351, 25026, 209588
1766398790.600029, 25296, 197027
1766398790.648394, 25577, 228876
